
"Reference number","2022-20076839"
"Entity number","0404534540"
"Accounting period start date","2021-01-01"
"Accounting period end date","2021-12-31"
"Model code","m02-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","MANUPORT LOGISTICS"
"Entity address street","Vosseschijnstraat"
"Entity address number","59"
"Entity postal code","2030"
"Entity city","Antwerpen-2030"
"Entity country","België"
"General assembly date","2022-05-11"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Naamloze vennootschap"
"1100/10","3981.29"
"1213","102.1"
"1212","12"
"1211","93"
"10032P","82"
"5811","13"
"5812","115"
"5813","20158.09"
"3403","1"
"3","229563.34"
"3401","1"
"5821","18"
"5822","684"
"5823","14106.3"
"8053P","14995866.67"
"5831","38"
"5832","1444"
"5833","29816.67"
"3431","26"
"1011","212329"
"100P","1615240"
"8052P","4114825.98"
"3423","3"
"1003","147.5"
"1002","17.3"
"3421","3"
"1001","134.3"
"10031P","51.6"
"10231P","3791228.84"
"1022","937287.09"
"1021","9547746.58"
"2103","56.3"
"3433","26.5"
"2102","3"
"1013","233173"
"3432","1"
"2101","54"
"1012","20844"
"10232P","5667625.22"
"1023","10485033.67"
"609","-229563.34"
"617","262723.75"
"1053","159.3"
"1052","16"
"1051","147"
"620","7529890.45"
"621","2046736.61"
"622","217661.75"
"623","690744.86"
"630","1356669.22"
"65/66B","818203.29"
"10011","51.7"
"10012","82.6"
"640","1150.01"
"10022","13.4"
"10021","3.9"
"664/7","180186.95"
"650","280953.84"
"10231","4026503.3"
"10232","6458530.37"
"440/4","53952009.72"
"7631","2900"
"1023P","9458854.06"
"66A","184290.73"
"66B","75769.6"
"640/8","111604.59"
"10211","3793755.37"
"439","3580000"
"10212","5753991.21"
"3053","30.5"
"3052","1"
"3051","30"
"10222","704539.16"
"10221","232747.93"
"8511","2251.17"
"450","490228.96"
"211","827509.31"
"212","2754822.88"
"696","178736.1"
"8521","585986.23"
"285/8","194044.45"
"492/3","5970347.79"
"600/8","1459528.51"
"8303","7780.2"
"12132","1"
"12131","8"
"75/76B","603467.86"
"12133","8.8"
"8322","72264.23"
"8325","822673.6"
"8323","412075.18"
"130/1","167503.32"
"9421","254286.15"
"12112","11"
"12111","58"
"12113","66.3"
"12121","25"
"8103","7953052.18"
"280","10460670.42"
"22/27","1612011.33"
"12123","25"
"10/49","73747449.46"
"20/58","73747449.46"
"10/11","1619221.29"
"10/15","7277958.66"
"8123","4139131.01"
"8122","3730552.57"
"631/4","135227.2"
"8361","7095119.47"
"12101","2"
"285/8P","194044.45"
"12103","2"
"54/58","17903287.67"
"1501","4"
"8391","11046656.65"
"1511","7496"
"8165","93294.6"
"8166","643236.33"
"8163","78464.4"
"1521","262723.75"
"8173","22849.98"
"490/1","2766061.57"
"8185","590348.01"
"8186","-590348.01"
"58132","9673.29"
"8192","79813.32"
"58131","11004.8"
"8193","647493.61"
"58133","520"
"8196","52888.32"
"8195","2138829.09"
"1319","5979.32"
"9291","3687720.38"
"40/41","36999478.49"
"1341","147"
"454/9","1498858.41"
"9077","1498858.41"
"1103","159.3"
"1102","16"
"1343","159.3"
"1101","147"
"1342","16"
"8195P","1455186.48"
"9087","147.5"
"9088","233173"
"9086","163"
"694/7","178736.1"
"9098","7496"
"9097","4"
"8391P","3951537.18"
"670/3","464111.92"
"10132P","123568"
"3101","30"
"280/1","10460670.42"
"10131P","82658"
"3103","30.5"
"3102","1"
"6630","4103.78"
"450/3","490228.96"
"6631","75769.6"
"750","254286.15"
"751","5875.17"
"10132","143630"
"10131","89543"
"1013P","206226"
"9903","1191955.19"
"9901","1406690.62"
"9906","5527025.16"
"9904","727843.27"
"9905","727843.27"
"42/48","60499143.01"
"76B","2900"
"2053","56.3"
"2052","3"
"2051","54"
"641/8","110454.58"
"10112","127961"
"10111","84368"
"652/9","461479.85"
"10121","5175"
"10122","15669"
"8192P","79813.32"
"70/76A","279320039.88"
"30/36","229563.34"
"29/58","57898391.07"
"17/49","66469490.8"
"8193P","591879.19"
"100","1615240"
"12031","4"
"12033","4.8"
"12032","1"
"58032","6030.71"
"58031","1736.26"
"8322P","65463.53"
"10","1615240"
"11","3981.29"
"13","310448.31"
"14","5348289.06"
"9505","32000"
"21","3582332.19"
"23","7549.09"
"24","235418.43"
"26","1316155.49"
"27","52888.32"
"12011","25"
"28","10654714.87"
"60/66A","277913349.26"
"130","161524"
"132","3747.65"
"133","139197.34"
"12013","27.4"
"12012","3"
"34","229563.34"
"12021","24"
"12023","24"
"8323P","328732.15"
"40","35160126.99"
"41","1839351.5"
"43","3580000"
"44","53952009.72"
"45","1989087.37"
"14P","4799181.89"
"9311","3687720.38"
"12001","1"
"60","1229965.17"
"12003","1"
"61","264410558.68"
"62","10485033.67"
"8325P","558012.64"
"65","742433.69"
"66","260060.33"
"21/28","15849058.39"
"10031","54.8"
"10032","92.7"
"70","277131830.43"
"74","2188209.45"
"75","600567.86"
"76","2900"
"752/9","340406.54"
"1003P","133.6"
"8521P","583735.06"
"9113","145608.05"
"8022","443235.9"
"9112","280835.25"
"9351","8090463.8"
"8275","264660.96"
"8033","8101912.78"
"8273","91123.23"
"8272","6800.7"
"8122P","3475587.16"
"9134","440773.05"
"9139","23338.87"
"9137","440773.05"
"47/48","978045.92"
"9138","23338.87"
