
"Reference number","2022-20201973"
"Entity number","0431852314"
"Accounting period start date","2021-01-01"
"Accounting period end date","2021-12-31"
"Model code","m02-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","Argentor Essayeurs"
"Entity address street","Lange Herentalsestraat"
"Entity address number","84-86"
"Entity postal code","2018"
"Entity city","Antwerpen-2018"
"Entity country","België"
"General assembly date","2022-06-30"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Naamloze vennootschap"
"1213","3.7"
"1212","2"
"1211","3"
"10032P","5.1"
"5811","2"
"5812","8"
"5813","94.85"
"3","12038305.05"
"6920","0"
"6921","493801.26"
"3431","2"
"1011","8823"
"100P","1000000"
"8052P","116730.26"
"1003","6.4"
"1002","2.7"
"1001","5.3"
"10031P","1.5"
"10231P","90849.16"
"1022","65588.4"
"1021","333344.74"
"2103","1"
"3433","2.6"
"1013","10559"
"3432","1"
"2101","1"
"1012","1736"
"10232P","293391.98"
"1023","398933.14"
"609","-1123183.85"
"617","47869.43"
"170/4","727986.96"
"1053","5.7"
"1052","2"
"1051","5"
"620","306147.27"
"621","71035.26"
"623","21750.61"
"8912","727986.96"
"630","50225.28"
"65/66B","284811.04"
"10011","1.7"
"10012","3.6"
"8922","920893.72"
"640","1776.63"
"10022","2.7"
"650","257285.11"
"10231","108810.25"
"10232","290122.89"
"440/4","2697919.58"
"8962","920893.72"
"1023P","384241.14"
"640/8","2187.63"
"10211","108810.25"
"10212","224534.49"
"3053","2.6"
"3052","1"
"3051","2"
"10222","65588.4"
"450","85181.81"
"694","600000"
"211","106.92"
"285/8","123.95"
"492/3","1326917.71"
"600/8","280860036.98"
"75/76B","22357.19"
"8322","168589.11"
"8325","69579.42"
"8323","29719.92"
"130/1","100000"
"12121","1"
"280","1254000"
"22/27","195192.7"
"12123","1"
"10/49","26161912.57"
"20/58","26161912.57"
"10/11","1000000"
"10/15","3264033.27"
"8122","116623.34"
"8361","1245000"
"12101","2"
"285/8P","123.95"
"12103","2.7"
"12102","2"
"54/58","1667908.07"
"1501","0.4"
"8391","1254000"
"1511","785"
"8165","8030"
"8162","3277.76"
"1521","47869.43"
"490/1","92884.41"
"58132","94.85"
"8192","197559.69"
"8193","38785.51"
"8195","226735.95"
"9291","932064.01"
"1323","0.2"
"1322","1"
"40/41","10913391.47"
"1341","5"
"454/9","29947.6"
"9062","920893.72"
"9073","91994.28"
"9077","29947.6"
"1103","5.7"
"1102","2"
"1343","5.5"
"1101","5"
"1342","1"
"8195P","218705.95"
"9087","6.4"
"9088","10559"
"9086","7"
"694/7","600000"
"9098","785"
"9096","1"
"9097","0.4"
"8391P","9000"
"670/3","385185.04"
"10132P","7854"
"3101","2"
"280/1","1254000"
"10131P","2432"
"740","0"
"3103","2.6"
"3102","1"
"450/3","177176.09"
"750","8609.23"
"751","10.76"
"754","13285.6"
"10132","7679"
"8802","727986.96"
"10131","2880"
"8801","192906.76"
"1013P","10286"
"9903","1478175.16"
"9901","1740629.01"
"9906","1093801.26"
"9904","1093801.26"
"9905","1093801.26"
"42/48","20842974.63"
"2053","1"
"2052","0"
"2051","1"
"641/8","411"
"10112","5943"
"10111","2880"
"8842","727986.96"
"8841","192906.76"
"652/9","27525.93"
"10122","1736"
"8192P","194281.93"
"70/76A","283210693.2"
"30/36","12038305.05"
"29/58","24712489"
"17/49","22897879.3"
"430/8","17740024.6"
"8193P","38785.51"
"100","1000000"
"8651","0"
"12031","1"
"12033","1"
"9500","751099.11"
"8653","0"
"58032","45.91"
"8322P","151671.18"
"10","1000000"
"13","2264033.27"
"17","727986.96"
"9505","6850"
"21","106.92"
"23","28970.58"
"24","9065.59"
"26","157156.53"
"28","1254123.95"
"60/66A","281470064.19"
"130","100000"
"132","300000"
"133","1864033.27"
"34","12038305.05"
"12021","1"
"12023","1"
"8323P","24163.91"
"40","2480729.39"
"41","8432662.08"
"42","192906.76"
"43","17740024.6"
"44","2697919.58"
"45","207123.69"
"9311","932064.01"
"60","279736853.13"
"61","1281865.01"
"62","398933.14"
"8325P","47073.02"
"65","284811.04"
"21/28","1449423.57"
"10031","1.7"
"173","727986.96"
"10032","4.7"
"70","283195306.27"
"74","15386.93"
"75","22357.19"
"77","811.14"
"752/9","13737.2"
"1003P","6.6"
"691/2","493801.26"
"8275","22506.4"
"8273","5556.01"
"8272","16917.93"
"8122P","111378.4"
"9135","385185.04"
"9134","385185.04"
"47/48","5000"
"9138","0"
"9146","53640683.25"
"9147","70559.14"
"9145","53540472.64"
"8052","116730.26"
"8072","5244.94"
"284/8","123.95"
"1203","2"
"1202","0"
"1201","2"
"5801","1"
"67/77","384373.9"
"5802","4"
"5803","45.91"
